yearID,lgID,tot_bases_league,tot_at_bats_league,league_wide_SLG,DH_status
1968,NL,18737,54913,0.34121246335111904,No DH
1967,NL,19991,55026,0.36330098498891433,No DH
1967,AL,19036,54179,0.35135384558592814,No DH
1966,AL,19937,54082,0.36864391109796235,No DH
1966,NL,21259,55385,0.3838403899972917,No DH
1965,AL,20075,54362,0.36928369081343587,No DH
1965,NL,20714,55377,0.3740542102316846,No DH
1964,NL,20680,55284,0.3740684465668186,No DH
1964,AL,21065,55180,0.38175063428778544,No DH
1963,AL,20894,55011,0.37981494610168876,No DH
1963,NL,19941,54803,0.3638669415907888,No DH
1962,AL,21762,55239,0.3939607885732906,No DH
1962,NL,21781,55449,0.39281141228876987,No DH
1961,NL,17066,42128,0.4050987466767945,No DH
1961,AL,21673,54904,0.3947435523823401,No DH
1960,NL,16361,42176,0.38792204097116845,No DH
1960,AL,16215,41838,0.38756632726229745,No DH
1959,AL,16118,41964,0.3840911257268135,No DH
1959,NL,16928,42330,0.3999055043704229,No DH
1958,AL,15969,41684,0.3830966318011707,No DH
1958,NL,17074,42143,0.40514438934105307,No DH
1957,AL,16052,41987,0.3823088098697216,No DH
1957,NL,17159,42919,0.3997996225447937,No DH
1956,NL,16776,41849,0.40086979378240817,No DH
1956,AL,16548,42007,0.39393434427595403,No DH
1955,AL,15935,41817,0.381065117057656,No DH
1955,NL,16998,41773,0.4069135566035477,No DH
1954,NL,17106,42027,0.40702405596402313,No DH
1954,AL,15646,41909,0.37333269703405,No DH
1953,AL,16232,42358,0.3832097832758865,No DH
1953,NL,17538,42639,0.4113135861535214,No DH
1952,NL,15651,41878,0.3737284493051244,No DH
1952,AL,15466,42317,0.36547959448921236,No DH
1951,NL,16640,42704,0.38965904833270887,No DH
1951,AL,16154,42361,0.3813413281084016,No DH
1950,AL,17068,42407,0.4024807225222251,No DH
1950,NL,17010,42416,0.401027913994719,No DH
1949,AL,15787,41669,0.37886678346012626,No DH
1949,NL,16617,42711,0.38905668329001897,No DH
1948,NL,16165,42256,0.3825492237788716,No DH
1948,AL,16088,42155,0.3816391887083383,No DH
1947,NL,16566,42434,0.3903944949804402,No DH
1947,AL,15308,42002,0.36445883529355744,No DH
1946,NL,14964,42094,0.355490093600038,No DH
1946,AL,15381,42239,0.36414214351665525,No DH
